ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
AKTA,akta,,,n.,"file (collection of papers, dossier)"
AKUMUL,akumulator,,,n.,accumulator
AKUMUL,akumule,,,v.,accumulate
AKUMUL,akumulnis,,,n.,accumulation
AKURAT,akurati,,,adj.,accurate
AKURAT,akuratnis,,,n.,accuracy
AKUT,akuti,,,adj.,"acute, pointed"
AKUZ,akuzabli,,,adj.,accusable
AKUZ,akuzativ,,,n.,accusative
AKUZ,akuze,,,v.,accuse
AKUZ,akuzer,,,n.,accuser
AKUZ,akuzivi,,,adj.,accusive
AKUZ,akuznis,,,n.,accusation
ALARM,alarm,,,n.,alert
ALARM,alarme,,,v.,alert
ALARM,alarmenti,,,adj.,alarming
ALARM,alarmsignal,,,n.,alarm signal
ALBATROS,albatros,,,n.,albatross
ALBINO,albino,,,n.,albino
ALBUM,album,,,n.,album
ALEJ,alej,,,n.,alley (passage in a garden or park)
ALFA,alfa,,,n.,alpha
ALFA,alfa-,,,pref.,main …
ALFABET,alfabet,,,n.,alphabet
ALFABET,alfabetize,,,v.,alphabetize
ALFABET,alfabetiznis,,,n.,alphabetization
ALFABET,alfabetli,,,adj.,alphabetical
ALFABET,alfabetlim,,,adv.,alphabetically
ALFABET,alfabetlim ordineni/rejeni,,,expr.,alphabetically ordered
ALFABET,in alfabetli ordin,,,expr.,in alphabetical order
ALFATAUN,alfataun,,,n.,capital (of a state)
ALFAVOLF,alfavolf,,,n.,alpha wolf
ALGA,alga,,,n.,alga
ALGEBRA,algebra,,,n.,algebra
ALGEBRA,algebrali,,,adj.,algebraic
ALGORITMO,algoritmo,,,n.,algorhythm
ALIANS,alians,,,n.,alliance
ALIANS,alianse,,,v.,ally
ALIBI,alibi,,,n.,alibi
ALIGATOR,aligator,,,n.,alligator
ALK,alk,,,n.,auk
ALKOHOL,alkohol,,,n.,alcohol
ALKOHOL,alkoholiki,,,adj.,alcoholic
ALKOHOL,alkoholismo,,,n.,alcoholism
ALKOHOL,alkoholist,,,n.,alcoholic
ALMOZNA,almozna,,,n.,alms
ALOE,aloe,,,n.,aloe
ALŠA,alša,S,,n.,alder
ALT,alti,,(IN=),adj.,high
ALT,altia,,,n.,height
ALT,altland,,,n.,highland
ALT,altnis,,,n.,"highness, height"
ALT,altskul,,,n.,"college, university, graduate school"
ALT,altšerš,,,n.,ambition
ALT,altšeršli,,,adj.,ambitious
ALTAR,altar,,,n.,altar
ALUD,alude,,,v.,allude
ALUD,aludnis,,,n.,allusion
ALUMINIUM,aluminium,,,n.,aluminium
ALUMINIUM,aluminiumfolia,,,n.,aluminium foil
ALUN,alun,,,n.,alum
AMALGAM,amalgam,,,n.,amalgam
AMBASAD,ambasad,,,n.,embassy
AMBASAD,ambasader,,,n.,ambassador
AMBI,ambi,,,det.,both
AMBI,ambi … et,,,conj.,both … and
AMBI,in ambi kazos,,,expr.,in both cases
AMBULANS,ambulans,,,n.,ambulance
AMBULANS,ambulansvoz,,,n.,ambulance car
AMEBA,ameba,,,n.,amoeba
AMETIST,ametist,,,n.,amethyst
AMFETAMIN,amfetamin,,,n.,amphetamin
AMFIBIA,amfibia,,,n.,amphibian
AMOK,amok,,,adv.,amok
AMOK,kurse amok,,,expr.,run amok
AMONIAK,amoniak,,,n.,ammonia
AMPL,ampli,,,adj.,wide
AMPL,amplize,,,v.,widen
AMPUL,ampul,,,n.,ampoule
AMT,amt,G,,n.,agency; department; office (state institution responsible for specified concerns)
AMT,amtli,,,adj.,official; ministerial (of or by a state or regional authority)
AMULET,amulet,,,n.,amulet
AMUZ,amuze,,,v.,amuse
AMUZ,"amuzenti, amuzli",,,adj.,amusing
AMUZ,amuznis,,,n.,amusement
ANAKTIVI,anaktivi,,,adj.,inactive
ANALIZ,analiza,,,n.,analysis
ANALIZ,analize,,,v.,analize
ANANAS,ananas,,,n.,pineapple
ANARKI,anarkia,,,n.,anarchy
ANARKI,anarkismo,,,n.,anarchism
ANARKI,anarkist,,,n.,anarchist
ANATOMIA,anatomia,,,n.,anatomy
ANCERT,ancerti,,,adj.,"incertain, uncertain"
ANCERT,ancertnis,,,n.,incertainty
ANDEFINITABLI,andefinitabli,,,adj.,indefinable
ANDEPENDLI,andependli,,,adj.,independent
ANDEPENDLI,andependlinis,,,n.,independence
ANDIGESTABLI,andigestabli,,,adj.,indigestible
ANDJEL,andjel,S,,n.,angel
ANDJEL,andjeleski,,,adj.,angel-like
ANENDL,anendli,,,adj.,infinite
ANENDL,"anendlia, anendlinis",,,n.,infinity
ANEXKUZABLI,anexkuzabli,,,adj.,inexcusable
ANFELISI,anfelisi,,,adj.,unhappy
ANGELIA,angelia,,,n.,message
ANGLIKLI,anglikli,,,adj.,"unfortunate, unlucky"
ANGUIL,anguil,,,n.,eel
ANIM,anim,,"(UG, IN=)",n.,soul
ANIM,animdaš,,,n.,soulmate
ANIM,animismo,,,n.,animism
ANIMITABLI,animitabli,,,adj.,inimitable
ANKALKULABLI,ankalkulabli,,,adj.,incalculable
ANKONDITENI,ankonditeni,,,adj.,unconditional
ANKONPAXLI,ankonpaxli,,,adj.,irreconcilable
ANKONVENTNIS,ankonventnis,,,n.,inconvenience
ANKOR,ankor,,,n.,anchor
ANKOR,ankore,,,v.,anchor
ANKOR,ankorplas,,,n.,anchorage
ANKRED,ankred,,,n.,disbelief
ANKRED,ankredabli,,,adj.,"unbelievable, incredible"
ANKRED,ankredli,,,adj.,"incredulous; (religion) infidel, unbelieving, unfaithful"
ANLEKTABLI,anlektabli,,,adj.,illegible
ANOD,anod,,,n.,anode
ANONS,anons,,,n.,"announcement (advertisement, e.g. in print media)"
ANONS,anonse,,,v.,advertise
ANPARTIAL,anpartiali,,,adj.,impartial
ANPARTIAL,anpartialnis,,,n.,impartiality
ANPLEZLI,anplezli,,,adj.,unpleasant
ANPOSLUŠ,anposlušli,,,adj.,disobedient
ANPOSLUŠ,anposlušnis,,,n.,disobedience
ANPOTREBLI,anpotrebli,,,adj.,needless
ANPOTREBLI,anpotreblim,,,adv.,needlessly
ANPREVIDABLI,anprevidabli,,,adj.,unforeseeable
ANRELEVANTI,anrelevanti,,,adj.,irrelevant
ANRESISTABLI,anresistabli,,,adj.,irresistible
ANRESPONSABLI,anresponsabli,,,adj.,irresponsible
ANREVERSABLI,anreversabli,,,adj.,irreversible
ANREVERSABLI,anreversablinis,,,n.,irreversibility
ANSKORDABLI,anskordabli,,,adj.,unforgettable
ANSKULP,anskulp,,,n.,innocence
ANSKULP,anskulpli,,,adj.,innocent
ANSUBORDINNIS,ansubordinnis,,,n.,insubordination
ANSURVENTABLI,ansurventabli,,,adj.,unsurmountable
ANTI,anti,,,prep.,"face to, in front of; against"
ANTILOP,antilop,,,n.,antilope
ANTITEZA,antiteza,,,n.,antithesis
ANTOLOGIA,antologia,,,n.,anthology
ANTRACIT,antracit,,,n.,anthracite
ANTROPOLOGIA,antropologia,,,n.,anthropology
ANUNS,anunse,,,v.,announce
ANUNS,anunsnis,,,n.,announcement
ANVAŽNI,anvažni,,,adj.,unimportant
ANVERDI,anverdi,,,adj.,unworthy
ANVISNIS,anvisnis,,,n.,ignorance (being uninformed or uneducated)
AORTA,aorta,,,n.,aorta
APA,apa,G,,n.,"ape, monkey"
APAR,apare,,,v.,appear
APAR,aparnis,,,n.,appearance
APARAT,aparat,,,n.,device
APARTMENT,apartment,,,n.,apartment
APATIA,apatia,,,n.,apathy
APATIA,apatiali,,,adj.,apathetic
APAX,apaxe,,,v.,appease
APAX,apaxnis,,,n.,appeasement
APAX,apaxpolitik,,,n.,appeasement policy
APEL,apel,,,n.,"appeal, call (to action)"
APEL,apele,,,v.,appeal
APLIK,aplike,,,v.,apply
APLIK,apliknis,,,n.,application
APOKALIPS,apokalips,,,n.,apocalypse
APOKALIPS,apokalipsli,,,adj.,apocalyptic
APOLOGE,apologe,,,v.,(= pete pro pardon) apologize
APOSTOL,apostol,,,n.,apostle
APOSTOL,apostoliki,,,adj.,apostolic
APOTEK,apotek,,,n.,pharmacy
APOTEK,apoteker,,,n.,pharmacist
APRIKOT,aprikot,,,n.,apricot
APRIL,april,,,n.,April
APROV,aprovabli,,,adj.,approvable
APROV,aprove,,,v.,approve
APROV,aprovnis,,,n.,approval
APROX,aproxe,,,v.,approach (to come or go near)
APROX,aproxnis,,,n.,approximation
APT,apte,,,v.,"fit, suit"
AR,ar,,,n.,are (unit of area)
ARAKNA,arakna,,,n.,spider
ARAKNA,araknanet,,,n.,spider web
ARANŽ,aranžabli,,,adj.,arrangeable
ARANŽ,aranže,,,v.,arrange
ARANŽ,aranžnis,,,n.,arrangement
ARBITRAR,arbitrari,,,adj.,arbitrary
ARBITRAR,arbitrarnis,,,n.,arbitrariness
ARC,arc-,,,pref.,arch-
ARCBISKOP,arcbiskop,,,n.,archbishop
AREA,area,,,n.,area
AREA,areal,,,n.,areal
AREST,arest,,,n.,arrest
AREST,areste,,,v.,arrest
AREST,arestnis,,,n.,arrestation
ARGON,argon,,,n.,argon
ARGUMENT,argument,,,n.,argument
ARGUMENT,argumente,,,v.,argue (bring forward an argument)
ARGUMENT,argumentivi,,,adj.,argumentative (prone to argue or dispute)
ARGUMENT,argumentli,,,adj.,argumentative (of or relating to argumentation)
ARGUMENT,argumentnis,,,n.,argumentation
ARIA,aria,,,n.,aria
ARIST,aristi,,,adj.,"noble (high rank, title or birth)"
ARIST,aristokrat,,,n.,aristocrat
ARIST,aristokratia,,,n.,aristrocracy
ARIST,aristokratiali,,,adj.,aristocratic
ARITMETIK,aritmetik,,,n.,arithmetic
ARITMETIK,aritmetikli,,,adj.,arithmetical
ARK,ark,,,n.,arch (archit.)
ARKA,arka,,,n.,ark (Noah’s ship)
ARKAIKI,arkaiki,,,adj.,archaic
ARKEOLOG,arkeolog,,,n.,archeologist
ARKEOLOG,arkeologia,,,n.,archeology
ARKITEKT,arkitekt,,,n.,architect
ARKITEKT,arkitektur,,,n.,architecture
ARKITEKT,arkitekturli,,,adj.,architectural
ARKIV,arkiv,,,n.,archive
ARKIV,arkive,,,v.,"archive, file"
ARM,arm,,,n.,"arm, weapon"
ARM,armize,,,v.,arm (supply with weapons)
ARM,armiznis,,,n.,armament
ARM,armnis,,,n.,weaponry
AROGANT,aroganti,,,adj.,arrogant
AROGANT,arogantnis,,,n.,arrogance
ARS,ars,G,,n.,"ass, arse"
ARS,arsgat,,,n.,"asshole, shithead"
ARSEN,arsen,,,n.,arsenic
ARSENAL,arsenal,,,n.,arsenal
ART,art,,,n.,art
ART,artefakt,,,n.,"artifact, artefact"
ART,artist,,,n.,artist
ART,artisti,,,adj.,artistic
ARTERIA,arteria,,,n.,artery
ARTIKEL,artikel,,,n.,article (grammar)
ARTIKEL,definiteni artikel,,,n.,definite article
ARTIKUL,artikul,,,n.,article (as in newspaper)
ASBEST,asbest,,,n.,asbest
ASFALT,asfalt,,,n.,asphalt
ASISTANT,asistant,,,n.,asistant
ASISTANT,asistante,,,v.,assist
ASISTANT,asistantnis,,,n.,assistance
ASOCIAT,asociate,,,v.,associate
ASOCIAT,asociatnis,,,n.,association
ASTER,aster,,,n.,aster
ASTEROID,asteroid,,,n.,asteroid
ASTMA,astma,,,n.,asthma
ASTRO,astro,,,n.,"celestial body, star"
ASTRO,astrofizik,,,n.,astrophysics
ASTRO,astrolog,,,n.,astrologist
ASTRO,astrologia,,,n.,astrology
ASTRO,astronaut,,,n.,astronaut
ASTRO,astronautik,,,n.,astronautics
ASTRO,astronom,,,n.,astronomer
ASTRO,astronomia,,,n.,astronomy
ASTRO,astronomiali,,,adj.,astronomical
AŠ,aš,G,,n.,ash (remnant of fire)
ATAK,atak,,,n.,attack
ATAK,atake,,,v.,attack
ATAK,ataker,,,n.,"attacker, assailant"
ATEI,ateismo,,,n.,atheism
ATEI,ateist,,,n.,atheist
ATEI,ateisti,,,adj.,atheist
ATENT,atentivi,,,adj.,attentive
ATENT,atentnis,,,n.,attention
ATING,atingabli,,,adj.,achievable
ATING,atinge,,,v.,achieve
ATING,atingnis,,,n.,achievement
ATITUD,atitud,,,n.,attitude
ATLET,atlet,,,n.,athlete
ATLON,atlon,,,n.,"competition (sports, beauty etc.)"
ATLON,Europani Songatlon,,,n.,European Song Contest
ATMOSFER,atmosfer,,,n.,atmosphere
ATMOSFER,atmosferli,,,adj.,atmospheric(al)
ATOL,atol,,,n.,atoll
ATOM,atom,,,n.,atom
ATOM,atombomb,,,n.,atomic bomb
ATOM,atomli,,,adj.,atomic
ATRAK,atrake,,,v.,attract
ATRAK,atrakivi,,,adj.,attractive
ATRAK,atrakivnis,,,n.,attractiveness
ATRAK,atraknis,,,n.,attraction
ATRIBUT,atribut,,,n.,attribute
ATRIT,atrite,,,v.,attrit
ATRIT,atritnis,,,n.,attrition
AUGUR,augur,,,n.,augur
AUGUST,august,,,n.,August
AUK,auki,U,,adj.,open
AUK,aukim,,,adv.,"open, openly"
AUK,aukize,,,v.,open
AUK,aukiznis,,,n.,opening
AUK,auknis,,,n.,openness
AUL,aul,G,(UG=),n.,owl
AUT,aut … u,,,conj.,either … or
AUTFIT,autfit,G,,n.,outfit
AUTI,autismo,,,n.,autist
AUTI,autist,,,n.,autist
AUTI,autisti,,,adj.,autistic
AUTOKRAT,autokrat,,,n.,autocrat
AUTOKRAT,autokratia,,,n.,autocracy
AUTOKRAT,autokratiali,,,adj.,autocratic
AUTONOMIA,autonomia,,,n.,autonomy
AUTONOMIA,autonomiali,,,adj.,autonomous
AUTOR,autor,,,n.,author
AUTORITET,autoritet,,,n.,authority
AUTUN,autun,,,n.,"autumn (BE), fall (AE)"
AUTUN,autunli,,,adj.,autumnal
AVAR,avar,,,n.,Avar
AVAR,avari,,,adj.,Avar
AVE,ave,,,expr.,hail (greeting)
AVE,ave Maria,,,expr.,Hail Mary
AVENTUR,aventur,,,n.,adventure
AVENTUR,aventurer,,,n.,adventurer
AVENTUR,aventurli,,,adj.,adventurous
AVENU,avenu,,,n.,avenue
AVID,avidi,,,adj.,greedy
AVID,avidnis,,,n.,greed
AX,ax,G,,n.,axe
AX,axlet,,,n.,hatchet
AXIA,axia,,,n.,axis
AXIA,axiali,,,adj.,axial
AXIOM,axiom,,,n.,axiom
AZIL,azil,,,n.,asylum
AZURIT,azurit,,,n.,azurite
BACIL,bacil,,,n.,bacillus
BAD,bad,G,,n.,bath
BAD,bade,,,v.,bathe
BAD,badkambra,,,n.,bathroom
BAD,badvana,,,n.,bathtub
BAJ,baj-,,,pref.,"(with verbs) additionally; for support, supportively; in attendance; (with nouns) temporally concurrent or physically present; subordinate; (with nouns) unwanted, secondary"
BAJ,bajnim,,,n.,"byname, epithet, sobriquet"
BAJ,bajpart,,,n.,accessory part
BAJ,bajpartnis,,,n.,accessories
BAJ,bajprodukt,,,n.,by-product
BAJCE,bajce,G,,v.,"pick, pickling (material)"
BAJFARER,bajfarer,,,n.,front passenger
BAJK,bajk,G,,n.,bike
BAJN,bajn,,,n.,leg
BAK,bake,G,,v.,bake
BAK,baker,,,n.,baker
BAK,bakerija,,,n.,bakery
BAK,bakvara,,,n.,"pastries, baked goods"
BAKTERIA,bakteria,,,n.,bacterium
BAKTERIA,bakteriali,,,adj.,bacterial
BAL,bal,,,n.,ball (formal dance party; cf. bol)
BALADA,balada,,,n.,ballad
BALANS,balans,,,n.,balance
BALANS,balanse,,,v.,balance (equilibrium)
BALDAKIN,baldakin,,,n.,"canopy, dais, baldaquin"
BALET,balet,,,n.,ballet
BALET,baletdanser,,,n.,baletdanser
BALET,baletskul,,,n.,ballet school
BALG,balg,G,,n.,bellows
BALISTIK,balistik,,,n.,ballistics
BALKON,balkon,,,n.,balcony
BALSAM,balsam,,,n.,balm
BAMBU,bambu,,,n.,bamboo
BAN,ban,G,,n.,ban
BAN,bane,,,v.,ban
BANAN,banan,,,n.,banana
BANAN,bananplant,,,n.,banana plant
BAND,band,G,(UG=),n.,"band (strip of material), tape, ribbon"
BANDA,banda,,,n.,gang (cf. bend)
BANDIT,bandit,,,n.,bandit
BANDIT,banditismo,,,n.,banditism
BANK,bank,,,n.,bank (financial institution)
BANK,bankkonto,,,n.,bank account
BANK,banknota,,,n.,banknote
BANK,bankrobnis,,,n.,bank robbery
BAPTE,bapte,,,v.,baptize
BAPTE,baptismo,,,n.,baptism
BAPTE,baptist,,,n.,baptist
BAPTE,baptnis,,,n.,baptism
BAR,bar,G,,n.,bar (tavern)
BARBAR,barbar,,,n.,barbarian
BARBAR,barbarli,,,adj.,barbarian
BARBAR,barbarnis,,,n.,barbary
BARD,bard,,,n.,bard (professional singer and dancer among the Ancient Celts)
BARIER,barier,,,n.,barrier
BARIKAD,barikad,,,n.,barricade
BARIKAD,barikade,,,v.,barricade
BARIT,barit,,,n.,barite/baryte
BARK,bark,,,n.,"boat, bark, vessel"
BARN,barn,G,,n.,"child, kid"
BARN,barnli,,,adj.,childlike
BARN,barnnis,,,n.,childhood
BART,bart,G,,n.,beard
BART,bartli,,,adj.,bearded
BART,bartstub,,,n.,beard stubble
BAS,bas,,,n.,bass
BASIN,basin,,,n.,bassin
BASKETBOL,basketbol,,,n.,= košbol
BASTARD,bastard,,,n.,bastard (illegitimate child; not meant as an insult in Ě)
BAT,bat,,,n.,beat
BAT,bate,,,v.,beat
BATADE,batade,,,v.,pound (strike hard repeatedly)
BAUER,bauer,G,,n.,"farmer, peasant"
BAUER,bauerija,,,n.,"farm (> farm, farmer?)"
BAUM,baum,G,(UG=),n.,tree
BAUXIT,bauxit,,,n.,bauxite
BAZ,baza,,,n.,base
BAZ,baze,,,v.,base
BAZALT,bazalt,,,n.,basalt
BEHEMOT,behemot,,,n.,behemoth
BEJ,bej,,,n.,bee
BEJ,bejaria,,,n.,bee hive
BEJB(I),bejb(i),,,n.,"baby, darling, sweetheart, honey (cf. vauva)"
BEJZBOL,bejzbol,,,n.,baseball
BEJZBOL,bejzbolkep,,,n.,baseball cap
BEK,bek,G,,n.,brook (small stream)
BEL,beli,,,adj.,beautiful
BEL,belize,,,v.,"beatify, embellish"
BEL,belnis,,,n.,beauty
BEL,Belina i Bestia,,,expr.,The Beauty and the Beast
BELT,belt,G,,n.,belt
BEN,beni,,(UG=),adj.,good
BEN,benim,,,adv.,well
BEN,benum,,,n.,the good
BENČ,benč,,,n.,bench
BEND,bend,,,n.,band (group of musicians; cf. banda)
BENFIT,benfit,,,n.,"benefit, advantage"
BENFIT,"benfitli, benfitozi",,,adj.,"beneficial, advantageous"
BENKE,benke (pro),,,v.,"yearn, long (for)"
BENKE,benknis,,,n.,"yearning, longing"
BENSMEL,bensmel,,,n.,"odor, fragrance"
BENSMEL,bensmelenti,,,adj.,"odorous, fragrant (> duft?)"
BER,ber,,,n.,berry
BERIL,beril,,,n.,beryl
BERSTE,berste,G,,v.,burst
BES,bes,,,n.,kiss
BES,bese,,,v.,kiss
BEST,besti,G,,adj.,best
BEST,di bestum,G,,expr.,the best (thing)
BEST,di bestum e varte,G,,expr.,the best thing is to wait
BESTIA,bestia,,,n.,"beast, (wild) animal"
BESTIA,bestiam,,,n.,lifestock
BET,bet,G,(UG=),n.,bed
BET,betdrap,,,n.,sheet (bed sheet)
BETL,betle,G,,v.,beg
BETL,betlenis,,,n.,begging
BETL,betler,,,n.,beggar
BETON,beton,,,n.,concrete (building material)
BETON,betone,,,v.,concrete (cover with concrete)
BETRI,betri,G,,adj.,better (irregular intensification of > beni)
BETRI,betrize,,,v.,improve
BETRI,betriznis,,,n.,improvement
BEŽI,beži,,,adj.,beige
BIBLIA,biblia,,,n.,bible
BIBLIA,bibliali,,,adj.,biblical
BIBLIOTEK,bibliotek,,,n.,library
BIBLIOTEK,biblioteker,,,n.,librarian
BIČ,bič,G,,n.,bitch (person; derogative)
BIER,bier,G,,n.,beer
BIER,biercelt,,,n.,beer tent
BIER,bierglas,,,n.,beerglass
BIER,bierodrom,,,n.,beergarden
BIK,bik,,,n.,beak
BIKINI,bikini,,,n.,bikini
BIKORN,bikorn,,,n.,bicorne
BILANS,bilans,,,n.,balance (econ.)
BILD,bild,G,(UG=),n.,"picture, image (graphic representation); photo, illustration (cf. pejnt)"
BILD,bildal,,,n.,screen
BILD,bildli,,,adj.,"pictorial, graphic, visual"
BIMBES,bimbes,,,n.,(slang) money
BIO,biograf,,,n.,biographer
BIO,biografia,,,n.,biography
BIO,biografiali,,,adj.,biographical
BIO,biolog,,,n.,biologist
BIO,biologia,,,n.,biology
BIO,biologiali,,,adj.,biological
BIO,biometria,,,n.,biometrics
BIO,biometriali,,,adj.,biometrical
BIRN,birn,G,(UG=),n.,pear
BIRN,birnbaum,,,n.,pear tree
BISKOP,biskop,,,n.,bishop
BISKOP,biskopli,,,adj.,episcopal
BIT,bit,G,,n.,bit
BIT,bite,,,v.,bite
BITVA,bitva,S,,n.,battle
BITVA,bitvafeld,,,n.,battlefield
BITVA,bitvalet,,,n.,skirmish
BIVAK,bivak,,,n.,bivouac
BIVER,biver,G,,n.,beaver
BIZ,"biz, biznes",G,,n.,business
BIZON,bizon,,,n.,bison
BJEL,bjelbrod,S,,n.,white bread
BJEL,bjelbukva,,,n.,white beech
BJEL,bjeldorn,,,n.,whitethorn
BJEL,bjeleski,,,adj.,whitish
BJEL,bjeli,,,adj.,white
BJEL,bjeljedla,,,n.,white fir
BJEN,bjen ke,,,conj.,although
BLAFE,blafe,G,,v.,bark
BLAM,blam,,,n.,blame
BLAM,blame,,,v.,blame
